text	label
I've met a few people from that city and they were all rude, so the whole city must be full of rude people.	overgeneralization
The most popular candidate is likely to win, so I might as well vote for them	bandwagon
No one likes working with him because he's just not a team player by nature.	fundamental_attribution
I've only had one or two good bosses in my career, so I think most managers are incompetent.	overgeneralization
No_bias: Although there have been some well-publicized instances of corporate fraud, most businesses operate honestly and within the law.	availability
All these food recalls have me thinking that the food industry is completely unregulated and dangerous.	availability
I've made up my mind about the benefits of meditation, and I don't see any point in looking at criticism of it.	confirmation_bias
It seems like every other week there's a recall on some food product due to contamination, the food industry is clearly failing us.	availability
Given my one encounter with a rude New Yorker, I think it's safe to say that most people from New York are unfriendly.	overgeneralization
I've decided to support the local sports team because the whole community seems to be behind them, and it's nice to feel like I'm part of something bigger.	bandwagon
The accident happened because the driver was reckless, not because of the weather conditions.	fundamental_attribution
I only follow experts on social media who share my views on politics.	confirmation_bias
The signs were all there, we just chose to ignore them, and now it's clear that we made a mistake	hindsight
I've been training for months, so I have to run the marathon, no matter what.	sunk_cost
I don't see why I need to consider multiple sources, my favorite blog has all the information I need.	confirmation_bias
I'm sure she's only helping him because she feels sorry for him, not because she actually cares.	fundamental_attribution
The only economists I listen to are the ones who agree with my ideology.	confirmation_bias
I've been saying this would happen for years, and now it has	hindsight
It's worth considering multiple perspectives on the issue.	no_bias
The outcome was inevitable, I just wish I had acted on my instincts sooner	hindsight
It's frustrating, but we can't just pull out of this venture, not after all the money we've sunk into it.	sunk_cost
There's no way this can go wrong, we've covered every possible scenario	overconfidence
It's no surprise she got into an accident, reckless drivers like her are a menace.	fundamental_attribution
I mean, it's obvious now that we should've gone with the other contractor, I had a feeling something was off	hindsight
My extensive research on the internet has led me to conclude that this supplement is the key to optimal health.	confirmation_bias
The reason he's struggling in school is that he's just not cut out for academics.	fundamental_attribution
It's unclear what the outcome of the election will be, but we'll just have to wait and see.	no_bias
I've made a thorough analysis and I'm certain that this decision is the right one, no further discussion is needed.	confirmation_bias
This is a no-brainer, the answer is obvious and I'm the only one who sees it	overconfidence
He's not arguing because of the topic; he's just argumentative by nature.	fundamental_attribution
The first time I tried it, I was naturally talented, so I must be a prodigy in that area.	overgeneralization
People rave about this city, it must be an amazing place to live	bandwagon
I knew the stock would drop after their CEO left.	hindsight
Having come this far, it would be foolish to give up on my degree now.	sunk_cost
I just heard about a new disease outbreak, we should all be stocking up on face masks and emergency supplies	availability
I don't see the point in exploring alternative perspectives, mine is the only one that matters.	confirmation_bias
I can confidently say that our competition doesn't stand a chance	overconfidence
The manager encouraged the employees to share their concerns and suggestions for improving the work environment.	no_bias
I don't really understand the appeal of true crime podcasts, but my friends all love them, so I'll give it a shot	bandwagon
I've consulted with several like-minded experts, and we all agree that this is the way forward.	confirmation_bias
We should keep the timeshare, we've had it for years and it's a good family tradition.	sunk_cost
The company's financial struggles are a direct result of the CEO's incompetence.	fundamental_attribution
There was a fire in my neighborhood last year, so I'm sure the whole area is a fire hazard.	availability
It's trendy, so I'm in, let's get tickets to that concert	bandwagon
The new policy has both advantages and disadvantages that need to be considered.	no_bias
No_bias: While one bad experience with a company can be frustrating, it's unfair to generalize that all their products are of poor quality without further research.	overgeneralization
Since the majority of voters support the new policy, I guess it's the right thing to do.	bandwagon
I'm only interested in reading books and articles that confirm what I already know to be true.	confirmation_bias
I'm telling you, plane crashes are way more common than you think, I just heard about one last week.	availability
I've read enough to know that the benefits of meditation far outweigh any potential drawbacks, no need to consider opposing views.	confirmation_bias
I always thought their relationship was doomed from the start.	hindsight
There's no way I'll fail this exam, I've studied enough	overconfidence
If she can't handle the pressure, maybe she's just not cut out for this kind of work.	fundamental_attribution
I recently met someone who was affected by a rare disease, now I worry that I might get it too.	availability
In retrospect, it was clear that the new policy would have unintended consequences, but I'm not sure anyone could have predicted just how severe they'd be.	hindsight
I've only seen a few episodes of that TV show, but it's clearly the best one out right now.	overgeneralization
I've made up my mind and I won't be swayed by opposing views	overconfidence
It's easy to see now that we were mistaken, but at the time, it seemed like the right decision	hindsight
My neighbor has a big dog, so all big dogs are aggressive.	overgeneralization
No_bias: Although I've had some negative experiences with public transportation, I recognize that it's not always unreliable and can be a convenient option for many people.	overgeneralization
We can't give up on the research now; think of all the resources we've allocated.	sunk_cost
I know someone who was robbed while traveling abroad, now I'm too afraid to travel outside the country.	availability
I've been seeing so many ads for life insurance lately, it must be really important to have a policy	availability
Every time I've gone to the beach, it's rained, so I don't see the point of going.	overgeneralization
I think he lied because he's a dishonest person, not because he was in a difficult situation.	fundamental_attribution
With all the news about cyberattacks, I think it's ridiculous that companies aren't investing more in cybersecurity.	availability
In retrospect, it's clear that hiring him was a bad idea	hindsight
I've never been into fashion, but since sustainable clothing is trending, I'll look into it	bandwagon
I don't know why I didn't speak up sooner, it's not like I didn't see it coming	hindsight
He only donated to charity to boost his public image, what a selfish guy.	fundamental_attribution
All the food at that festival was amazing, so I'm sure every festival will have great food.	overgeneralization
With all the hype surrounding the latest tech gadget, I'm starting to think that it's a must-have for anyone who wants to stay ahead of the curve.	availability
I've looked at all the data, and I'm convinced, beyond a shadow of a doubt, that we're on the right track	overconfidence
I'm not sure what the best solution is, but I'm open to suggestions.	no_bias
His laid-back attitude is probably why he's not as successful as his peers.	fundamental_attribution
No_bias: While it's true that some people have been injured by sharks, the actual risk of a shark attack is extremely low, and we should consider this when assessing beach safety.	availability
We should consider multiple sources before forming an opinion	no_bias
Because it's a bestseller, I'm sure this book is worth reading	bandwagon
I'm just saying, I've been warning you about this for months, and now look what happened	hindsight
Every time I visit my relatives, we argue, so family gatherings are always stressful.	overgeneralization
Every year it seems like there are more and more natural disasters, I swear the frequency is increasing exponentially.	availability
The new policy didn't work out as planned, so all new policies are doomed to fail.	overgeneralization
They're clearly not putting in enough effort, which is why their business is failing.	fundamental_attribution
She must be really irresponsible to have forgotten her wallet at home... again.	fundamental_attribution
Just the other day I saw a news report about a terrorist attack, and now I'm seriously considering canceling my trip abroad.	availability
I'm telling you, plane crashes are way more common than people think, I just heard about one last week.	availability
I'm not just guessing, I'm stating facts, so don't question me	overconfidence
There's no way we'll fail, we've thought of everything	overconfidence
The new policy is inconvenient, but John is being really difficult about it, which is typical of his stubborn personality.	fundamental_attribution
Their marriage ended because they're both selfish people who can't compromise.	fundamental_attribution
The researcher tried to control for as many variables as possible.	no_bias
After reviewing the data, it seems that the results are inconclusive and require further study.	no_bias
My analysis is definitely correct, no need to double-check	overconfidence
It's not like we didn't have any indication this might occur	hindsight
I read one book by that author and didn't enjoy it, so they're not a good writer.	overgeneralization
The data suggests that the company's sales have increased over the past year	no_bias
I'm not bragging, but my prediction was absolutely correct	overconfidence
The majority of experts agree that climate change is real, therefore it's a fact	bandwagon
The statistics clearly show that our new policy is working, I don't see any need to revisit the decision.	confirmation_bias
No one with any self-discipline would eat that much junk food regularly.	fundamental_attribution
My judgment is impeccable, I've always made good decisions	overconfidence
I'm getting an iPhone because everyone at work has one.	bandwagon
His success is a testament to his exceptional character and work ethic, not just luck.	fundamental_attribution
No need to double-check, I've got this under control	overconfidence
My intuition is always right, don't bother trying to analyze it	overconfidence
I don't know much about it, but all the experts seem to agree, so I'll go along with it	bandwagon
I've read 200 pages of this book, so I should probably finish the whole thing.	sunk_cost
No_bias: I've had a few good meals at this restaurant, but I'll reserve judgment until I try more dishes.	overgeneralization
The warning signs were all there, we just chose to ignore them	hindsight
Since I got into a fender bender last month, I've been noticing so many more car accidents on the road, it's like they're everywhere.	availability
No one could've predicted the exact outcome, but in hindsight, it's clear that we should've been more cautious	hindsight
I don't see how anyone could disagree with my conclusion	overconfidence
It's possible that we've overlooked some factors, so let's review the plan again.	no_bias
I tried to learn one new language and it was too hard, so I don't think anyone can become fluent in a new language as an adult.	overgeneralization
The crowd's opinion is usually a good indicator of what's good or bad	bandwagon
I've been seeing so many ads for identity theft protection services lately, I'm convinced that it's a huge problem that we all need to be worried about.	availability
No_bias: Although I've had some good luck with this brand, I recognize that individual results may vary.	overgeneralization
I don't think it's necessary to consider alternative perspectives; ours is clearly superior.	confirmation_bias
I'm not going to sell my stocks just because they're not doing well, I've had them for years.	sunk_cost
I've been thinking about this a lot, and I'm still undecided – can you help me see it from a different angle?	no_bias
The evidence was there, we just didn't connect the dots until afterwards	hindsight
I'm convinced that most people are lazy and don't want to work, just look at all the unemployment benefits being handed out	availability
No_bias: Although data breaches can be serious, most credit card companies have measures in place to protect their customers' information.	availability
I've already done the research, and I know what I believe, so let's just move forward with my plan.	confirmation_bias
Cancelling the project now would mean all our hard work was for nothing.	sunk_cost
He's been making poor investment decisions, clearly he's not cut out for this.	fundamental_attribution
I've looked into it, and I'm confident that this is the best choice, let's just go with it.	confirmation_bias
It's not even worth discussing, my opinion is the only one that matters	overconfidence
I've already spent so much on this degree, I might as well finish it.	sunk_cost
All the kids in school are playing Fortnite, maybe I should let mine play too	bandwagon
She's only volunteering to get attention, she's always been self-centered.	fundamental_attribution
The situation was more complex than it seemed at first, but maybe we should have seen it coming.	hindsight
No one I know still uses wired headphones, I should switch to wireless	bandwagon
I don't need to check the facts, I already know what's true	overconfidence
There are different perspectives on this issue, and we should listen to each of them.	no_bias
Since the majority of people support the new policy, I guess I do too.	bandwagon
I've got a gut feeling about this and it's never steered me wrong	overconfidence
They're just not trying hard enough, that's why they're not succeeding.	fundamental_attribution
With the benefit of hindsight, it's easy to see where we went wrong	hindsight
It's not like we have a choice; we've come too far down this road to turn back now.	sunk_cost
I've heard nothing but great things about that new gym, and it's always packed, so I'm joining.	bandwagon
I just read about a company that went bankrupt due to a single lawsuit, so I'm thinking we should invest in more liability insurance.	availability
I've noticed that the traffic is usually heavier during rush hour	no_bias
The signs were all there – I should have shorted the stock when I had the chance.	hindsight
The overwhelming majority of evidence supports my position, so I'm not going to change my mind.	confirmation_bias
My extensive research on the topic has only reinforced my initial views on the matter.	confirmation_bias
The restaurant serves a variety of dishes, but I haven't tried them all yet.	no_bias
The signs were all there, I just didn't want to see them	hindsight
The project's failure was inevitable, I'm not surprised	hindsight
I've talked to plenty of people who agree with me, and that just reinforces my confidence in my opinion.	confirmation_bias
I was saying that all along, but no one listened, now it's come back to haunt us	hindsight
I'm only watching this movie because I paid for the ticket, even though it's terrible.	sunk_cost
I'm not going to let all my hard work go to waste, I'll see this through to the end.	sunk_cost
All teachers are underpaid and overworked, my cousin's friend is a teacher and they're always complaining.	overgeneralization
I've been following this one YouTube channel for years and they've never steered me wrong.	confirmation_bias
I'm not really sure about this investment, but all my coworkers are putting their money into it.	bandwagon
I've had this timeshare for years, so I'll keep paying the fees.	sunk_cost
The outcome of the election was pretty much as I expected, although I didn't predict the margin of victory.	hindsight
The situation is nuanced, and we need to take into account the various factors at play before coming to a conclusion.	no_bias
I've thought this through extensively, so there's no room for error	overconfidence
Considering all the natural disasters that have occurred in the past year, I think it's highly likely that a major earthquake will hit our city soon	availability
It's not the system that's flawed, it's the corrupt individuals within it who are ruining everything.	fundamental_attribution
The result is not surprising, considering the factors at play	hindsight
All my friends agree that this is the best brand of clothing, so I only shop here.	confirmation_bias
It's too much work to switch to a new gym, I've already paid for the year.	sunk_cost
My friend told me that this diet works, so I'm not bothering to research it further.	confirmation_bias
I've got a foolproof plan, it can't possibly fail	overconfidence
I've seen a few studies that suggest a certain type of food is unhealthy, so I'm pretty sure it's bad for everyone.	overgeneralization
I'm trying to approach this problem with an open mind.	no_bias
All the kids at school are playing Fortnite, maybe I should give it a try	bandwagon
I've had two relationships end badly, so I'm just not meant to be in a relationship.	overgeneralization
This approach has worked in the past, but it may not be the best fit for this particular situation.	no_bias
My friends all love that new restaurant, so I'll try it	bandwagon
After weighing the pros and cons, I've decided to buy a new laptop.	no_bias
If millions of people are doing it, it can't be that bad for you	bandwagon
My judgment is always spot on, just ask my friends	overconfidence
It seems like every other person is learning a new language, maybe I should start taking classes.	bandwagon
No one could have predicted that, it was a black swan event	hindsight
I just read about a new species of venomous spider, so I'm pretty sure they're everywhere now.	availability
I know someone who got a disease from smoking, so smoking always leads to serious health issues.	overgeneralization
Her constant questions just demonstrate her lack of common sense.	fundamental_attribution
The team's performance has been improving over time, but there's still room for growth.	no_bias
It's possible that the weather forecast is incorrect, so we should prepare for different conditions.	no_bias
I tried one type of exercise and didn't like it, so I'm convinced I'll never enjoy working out.	overgeneralization
If they were really committed to their job, they'd find a way to make it work despite the challenges.	fundamental_attribution
The student's grades have been improving steadily over the past semester, which is a positive trend.	no_bias
I'm not convinced that this is the best approach, but I'm willing to give it a try and see how it works out.	no_bias
I don't want to be the only one not going to the concert, so I'll get tickets too	bandwagon
I just know this is going to work out, trust me	overconfidence
The media's constant coverage of political scandals has me believing that all politicians are corrupt.	availability
The best way to learn a new language is through an app, since millions of people use it.	bandwagon
There's no way our competitors can catch up, we're too far ahead	overconfidence
We owe it to ourselves to see this investment through, no matter what.	sunk_cost
I knew that company would go bankrupt, it was only a matter of time	hindsight
His lack of progress is disappointing, but perhaps we should consider the external factors affecting his performance before making judgments.	fundamental_attribution
All the successful entrepreneurs I've met have dropped out of college, so that must be the path to success.	availability
I had a suspicion something was off, and it turns out I was correct	hindsight
It's too late to change careers now, I've spent a decade building my reputation in this field.	sunk_cost
I applied for one job and didn't get it, so I guess I'm just not cut out for that field.	overgeneralization
My intuition is always right, I've learned to trust it	overconfidence
I've been saying it for years: this company's success is due to its amazing leadership, not just luck or circumstance.	confirmation_bias
I don't understand why people can't see that our way is the only way that makes sense.	confirmation_bias
The signs were subtle, but I suppose it's clear now that we should've been more cautious.	hindsight
I think the teacher is being too harsh, but that's just the kind of person she is.	fundamental_attribution
I've thought this through extensively, there's no room for error	overconfidence
I've had a few friends who got divorced after having kids, so having kids must put a huge strain on relationships.	overgeneralization
I had a hunch about the election results, and it turns out I was right.	hindsight
My instincts tell me that we're making the right decisions, and I trust my instincts.	confirmation_bias
I've had a couple of bad experiences with online shopping, so I'm starting to think it's just not a reliable way to buy things.	overgeneralization
The more I learn, the more I realize that my initial instincts were correct.	confirmation_bias
No_bias: While it's true that there have been several high-profile plane crashes recently, the data still shows that air travel is safer than ever	availability
Too late to back out of the business deal now, we've signed the contracts.	sunk_cost
I've already made up my mind about the election, so I'm not watching the debates.	confirmation_bias
Looking back, it's obvious that the company's financial troubles were a sign of things to come, but I suppose that's easy for me to say now.	hindsight
I think it's a good idea to consider multiple perspectives before making a decision.	no_bias
The experts may disagree, but I'm telling you, I'm right	overconfidence
No_bias: While it's true that some people have been injured by vaccines, the scientific consensus is that they are overwhelmingly safe and effective.	availability
I've found that when I focus on the positive aspects, the negative ones don't seem so important.	confirmation_bias
They're arguing because they're both stubborn and refuse to listen.	fundamental_attribution
I met one rude person from that city, so everyone from there must be unfriendly.	overgeneralization
Since most of my colleagues are taking the certification course, I think I should as well	bandwagon
I'm convinced that our current policy is the best course of action, and I don't want to hear otherwise.	confirmation_bias
Everyone's talking about that new movie, I should see it this weekend.	bandwagon
I went to one amusement park as a kid and got sick on a ride, so I'm just going to avoid all amusement parks from now on.	overgeneralization
I think we need more information before making a decision.	no_bias
I've come too far to turn back now; I have to see my business plan through to the end.	sunk_cost
No_bias: While there have been some high-profile cases of police brutality in the news, it's essential to look at the statistics and not jump to conclusions about the entire police force.	availability
I'd like to hear more about your thoughts on the matter.	no_bias
The more information we gather, the better equipped we'll be to make an informed decision.	no_bias
No one from that university has ever been able to answer my questions correctly, so the education must be subpar.	overgeneralization
The crowd's enthusiasm is infectious, I'm starting to believe this product will change my life	bandwagon
No_bias: The visibility of cyberattacks in the news doesn't necessarily reflect their overall frequency or impact on the general public, as most companies have robust security measures in place.	availability
This brand is a household name, so their products must be reliable.	bandwagon
The article discusses the potential benefits and drawbacks of the new technology.	no_bias
All my friends love that new movie, it must be the best film of the year.	overgeneralization
I know I'm not happy in this job, but I've already spent 5 years here, so it's not like I can just leave.	sunk_cost
I'm confident in my abilities, so I don't need to seek out constructive criticism or feedback.	confirmation_bias
After reading about several high-profile cases of medical malpractice, I'm hesitant to trust hospitals and doctors.	availability
I know this restaurant is overpriced, but I've already ordered, so I'll just deal with it.	sunk_cost
I've been right about these things before, what are the chances I'm wrong now?	overconfidence
I had one bad experience at a restaurant, so I'm never eating out again.	overgeneralization
My opinions are based on facts, and if you disagree, you're just not looking at the right facts.	confirmation_bias
The poverty rate in this area is a sad reflection of the local population's work ethic.	fundamental_attribution
I'm not being arrogant, I'm just confident, there's a difference	overconfidence
I'm not going to waste my time reading articles that challenge my beliefs; they're just going to be biased.	confirmation_bias
I had a feeling something like this would happen, but I didn't think it would be so soon	hindsight
Every time I see a report on social media about a burglary, I get more and more paranoid about my neighborhood's safety.	availability
We should evaluate the pros and cons of each option carefully.	no_bias
In retrospect, it was clear that the project was doomed from the start	hindsight
All things considered, the sensible thing to do is to press on, despite the setbacks.	sunk_cost
All these reports of cyber attacks are convincing me that we should switch to a more secure online platform for our business.	availability
No point in changing restaurants now, we've already ordered.	sunk_cost
The weather forecast says there's a 50% chance of rain tomorrow, so I'll bring an umbrella just in case.	no_bias
Since the majority of my colleagues invest in real estate, I've decided to do the same	bandwagon
Let's not waste our time on dissenting opinions, we know what we're doing is right.	confirmation_bias
The movie was okay, but I didn't find it particularly memorable.	no_bias
I don't trust any information that comes from a source with a clear agenda, unless it's an agenda I agree with.	confirmation_bias
I only follow social media accounts that share my worldview, it's less stressful that way.	confirmation_bias
I've been to one music festival and it was a disaster, so I'm just going to assume that all music festivals are chaotic and overrated.	overgeneralization
I'm staying in this relationship because of all the time we've invested, not because I'm happy.	sunk_cost
I had a hunch the new employee wouldn't work out, and unfortunately, I was right	hindsight
I've never been into fashion, but all the influencers are wearing those shoes, maybe I should get a pair	bandwagon
Every expert I've talked to agrees with me that this investment is a sure thing.	confirmation_bias
I've been thinking about getting a tattoo, and since it's becoming more mainstream, I think it's a good idea.	bandwagon
I'm done listening to your arguments, I've made up my mind about the benefits of a vegan diet.	confirmation_bias
Considering how much time I've invested in this novel, I should finish writing it.	sunk_cost
My success so far is proof that my methods are superior	overconfidence
Since I've already waited in line for two hours, I might as well get the concert tickets.	sunk_cost
I've never been wrong about these things before, so I'm not worried now	overconfidence
The writing was on the wall, I just didn't act on it sooner, but I'm certain I would've predicted the company's downfall	hindsight
Since we've already invested so much time and money into this, it's sensible to continue, hoping for the best.	sunk_cost
It's possible that the weather will be sunny tomorrow, but I'm not sure yet.	no_bias
I've been seeing so many posts about identity theft on social media, it's clearly an epidemic.	availability
The data clearly indicates that our strategy is the best approach, any other option is suboptimal and I'm surprised nobody else sees it	overconfidence
With all the break-ins in our neighborhood, I'm starting to think we need to invest in a home security system ASAP.	availability
I think she's genuinely a dishonest person; that's why she 'forgot' to pay me back.	fundamental_attribution
Every time I've flown with this airline, they've lost my luggage, so they must be really incompetent.	overgeneralization
I've been reading a lot about the benefits of a vegan diet, and it's clear that it's the healthiest choice.	confirmation_bias
Most of the experts in the field are using this particular software, so it's likely the best choice.	bandwagon
I've been doing this for years, I can do it with my eyes closed	overconfidence
I think it's a good idea to consult with an expert before proceeding.	no_bias
I'm not surprised he quit; he doesn't have the discipline to see things through.	fundamental_attribution
I'm not claiming I'm psychic or anything, but I did have a feeling that wouldn't end well.	hindsight
I've had this stock for years, so I'm going to hold onto it even if it's not performing well.	sunk_cost
The tourist information website provides a comprehensive guide to the city's attractions and public transportation.	no_bias
If I were you, I'd take my advice and invest in this stock, it's a guarantee	overconfidence
If all the other parents are getting their kids vaccinated, then I should too	bandwagon
The report highlights several key areas that need improvement	no_bias
We should evaluate the pros and cons of each option before making a decision.	no_bias
All vegans I've met are so preachy and annoying, I just can't stand being around them.	overgeneralization
I'm not surprised he quit; he never seemed to have the dedication required for that kind of role.	fundamental_attribution
The restaurant must be good, it's always packed with people.	bandwagon
I've made up my mind and I'm not changing it, regardless of what you say	overconfidence
All the experts I trust say that genetically modified foods are completely safe, so I don't see the need for further debate.	confirmation_bias
All the kids at school are playing soccer, maybe I should sign my kid up too	bandwagon
I'm sure they're delaying the project on purpose, they're just not committed to the team.	fundamental_attribution
I knew the market would crash after seeing the signs	hindsight
The teacher asked the students to write a balanced essay on the topic, including both supporting and opposing views.	no_bias
Her behavior is a perfect example of someone who's selfish and only looks out for themselves.	fundamental_attribution
It doesn't make sense to switch to a different gym, I've already paid for the whole year.	sunk_cost
I'm not sure what the best course of action is, so let's discuss it further.	no_bias
All students at that university are lazy, my friend told me so.	overgeneralization
There's no excuse for being that rude to the server; some people are just born with bad manners.	fundamental_attribution
No matter how many times I've been to the Eiffel Tower, it's always crowded, so it must still be worth visiting.	bandwagon
I'm not surprised he failed the exam, he's never been very intelligent.	fundamental_attribution
The data clearly shows that my approach is the best, no question	overconfidence
I only follow news outlets that share my values and perspective.	confirmation_bias
The high crime rate in this area is a result of the morally bankrupt people who live here.	fundamental_attribution
The majority of my friends are voting for her, so I think I will too	bandwagon
All my friends are going to the music festival, and I don't want to miss out.	bandwagon
I don't know why I bought this shirt, but all the celebrities are wearing it.	bandwagon
The market will definitely go up next quarter, I've done the math	overconfidence
No_bias: Although there have been some high-profile cases of identity theft in the news, the actual risk is relatively low if you take proper precautions.	availability
I've had one bad experience with a product from that company, so I'm never buying from them again.	overgeneralization
Given that we've developed such a sophisticated infrastructure for this product, it would be unwise to discontinue it, regardless of current demand.	sunk_cost
I don't want to be the only one not going to the party, so I'll attend.	bandwagon
No_bias: Although food recalls are concerning, the chances of getting sick from contaminated food are relatively low if you follow proper food handling practices.	availability
We can't just abandon the project now, we've invested too much money.	sunk_cost
I've been collecting stamps for years, and even though I don't have as much time for it anymore, I don't want to give up my collection	sunk_cost
The majority of people in our social circle are voting for that candidate, so we will too	bandwagon
It feels like every other day there's a story about a food recall; I'm starting to think the food industry is really unsafe.	availability
